,DUID,BIDTYPE,CAPACITYBAND,BID,INDEX,PRICE,DISPATCHED
0,APD01,RAISE5MIN,BANDAVAIL1,10,0,0.0,10.0
1,APD01,RAISE60SEC,BANDAVAIL1,10,1,0.0,10.0
2,APD01,RAISE6SEC,BANDAVAIL1,10,2,0.0,8.0
3,BLOWERNG,ENERGY,BANDAVAIL1,80,3,-981.5,68.0
4,BLUFF1,ENERGY,BANDAVAIL1,53,4,-986.3,0.516
5,BOCORWF1,ENERGY,BANDAVAIL1,113,5,-973.88,13.308
6,BRAEMAR6,ENERGY,BANDAVAIL1,80,6,-954.9,80.0
7,BROKENH1,ENERGY,BANDAVAIL1,53,7,-1122.0,52.76
8,BW01,ENERGY,BANDAVAIL1,250,8,-959.0,250.0
9,BW01,LOWER5MIN,BANDAVAIL1,3,9,0.01,3.0
10,BW01,LOWER60SEC,BANDAVAIL1,3,10,0.01,3.0
11,BW01,LOWER6SEC,BANDAVAIL1,3,11,0.01,3.0
12,BW01,LOWERREG,BANDAVAIL1,5,12,0.01,3.77502
13,BW01,RAISE5MIN,BANDAVAIL1,16,13,0.01,16.0
14,BW01,RAISE60SEC,BANDAVAIL1,13,14,0.01,13.0
15,BW01,RAISE6SEC,BANDAVAIL1,13,15,0.01,13.0
16,BW01,RAISEREG,BANDAVAIL1,8,16,7.4,8.0
17,BW02,ENERGY,BANDAVAIL1,250,17,-959.0,250.0
18,BW02,LOWER5MIN,BANDAVAIL1,3,18,0.01,3.0
19,BW02,LOWER60SEC,BANDAVAIL1,3,19,0.01,3.0
20,BW02,LOWER6SEC,BANDAVAIL1,3,20,0.01,3.0
21,BW02,RAISE5MIN,BANDAVAIL1,16,21,0.01,16.0
22,BW02,RAISE60SEC,BANDAVAIL1,13,22,0.01,13.0
23,BW02,RAISE6SEC,BANDAVAIL1,13,23,0.01,13.0
24,BW03,ENERGY,BANDAVAIL1,250,24,-960.3,250.0
25,BW03,LOWER5MIN,BANDAVAIL1,3,25,0.01,3.0
26,BW03,LOWER60SEC,BANDAVAIL1,3,26,0.01,3.0
27,BW03,LOWER6SEC,BANDAVAIL1,3,27,0.01,3.0
28,BW03,LOWERREG,BANDAVAIL1,5,28,0.01,5.0
29,BW03,RAISE5MIN,BANDAVAIL1,16,29,0.01,16.0
30,BW03,RAISE60SEC,BANDAVAIL1,13,30,0.01,13.0
31,BW03,RAISE6SEC,BANDAVAIL1,13,31,0.01,13.0
32,BW03,RAISEREG,BANDAVAIL1,8,32,7.4,8.0
33,BW04,ENERGY,BANDAVAIL1,250,33,-960.3,250.0
34,BW04,LOWER5MIN,BANDAVAIL1,3,34,0.01,3.0
35,BW04,LOWER60SEC,BANDAVAIL1,3,35,0.01,3.0
36,BW04,LOWER6SEC,BANDAVAIL1,3,36,0.01,3.0
37,BW04,LOWERREG,BANDAVAIL1,5,37,0.01,0.0
38,BW04,RAISE5MIN,BANDAVAIL1,16,38,0.01,16.0
39,BW04,RAISE60SEC,BANDAVAIL1,13,39,0.01,10.505565
40,BW04,RAISE6SEC,BANDAVAIL1,13,40,0.01,10.505565
41,BW04,RAISEREG,BANDAVAIL1,8,41,7.4,8.0
42,CLEMGPWF,ENERGY,BANDAVAIL1,57,42,-982.2,1.671
43,CPP_3,ENERGY,BANDAVAIL1,406,43,-941.0,401.70001
44,CPSA,ENERGY,BANDAVAIL1,73,44,-964.0,73.0
45,ER01,ENERGY,BANDAVAIL1,210,45,-982.9,210.0
46,ER01,LOWERREG,BANDAVAIL1,4,46,0.01,4.0
47,ER01,RAISE5MIN,BANDAVAIL1,20,47,0.01,20.0
48,ER01,RAISE60SEC,BANDAVAIL1,15,48,0.01,15.0
49,ER01,RAISE6SEC,BANDAVAIL1,15,49,0.01,15.0
50,ER01,RAISEREG,BANDAVAIL1,5,50,0.01,5.0
51,ER02,ENERGY,BANDAVAIL1,210,51,-982.9,210.0
52,ER02,LOWERREG,BANDAVAIL1,4,52,0.01,4.0
53,ER02,RAISE5MIN,BANDAVAIL1,20,53,0.01,20.0
54,ER02,RAISE60SEC,BANDAVAIL1,15,54,0.01,15.0
55,ER02,RAISE6SEC,BANDAVAIL1,15,55,0.01,15.0
56,ER02,RAISEREG,BANDAVAIL1,5,56,0.01,5.0
57,ER03,ENERGY,BANDAVAIL1,210,57,-984.6,210.0
58,ER03,LOWERREG,BANDAVAIL1,4,58,0.01,4.0
59,ER03,RAISE5MIN,BANDAVAIL1,20,59,0.01,20.0
60,ER03,RAISE60SEC,BANDAVAIL1,15,60,0.01,15.0
61,ER03,RAISE6SEC,BANDAVAIL1,15,61,0.01,15.0
62,ER03,RAISEREG,BANDAVAIL1,5,62,0.01,5.0
63,ER04,ENERGY,BANDAVAIL1,210,63,-984.6,210.0
64,ER04,LOWERREG,BANDAVAIL1,5,64,0.01,5.0
65,ER04,RAISE5MIN,BANDAVAIL1,16,65,0.01,16.0
66,ER04,RAISE60SEC,BANDAVAIL1,8,66,0.01,8.0
67,ER04,RAISE6SEC,BANDAVAIL1,8,67,0.01,8.0
68,ER04,RAISEREG,BANDAVAIL1,2,68,0.01,2.0
69,GORDON,LOWERREG,BANDAVAIL1,10,69,0.1,10.0
70,GORDON,RAISEREG,BANDAVAIL1,10,70,0.1,0.0
71,GSTONE1,ENERGY,BANDAVAIL1,110,71,-966.2,110.0
72,GSTONE1,LOWER6SEC,BANDAVAIL1,5,72,0.45,0.0
