,INTERCONNECTORID,DIRECTION,REGIONID,BIDTYPE,LOSSSEGMENT,MWBREAKPOINT,INDEX,MEANVALUE,UPPERBOUND,LHSCOEFFICIENTS,RHSCONSTANT,ROWINDEX,FROMREGIONLOSSSHARE,DISPATCHED
0,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,34,0,1938,0.0,0.0,-1.0530920000000001,8539.42,4483,0.52,0.0
1,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,34,0,1938,0.0,0.0,0.950992,6554.49,4484,0.52,0.0
2,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,35,9,1939,4.5,9.0,-1.058024486,8539.42,4483,0.52,0.0
3,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,35,9,1939,4.5,9.0,0.946438936,6554.49,4484,0.52,0.0
4,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,36,17,1940,13.0,8.0,-1.067341404,8539.42,4483,0.52,0.0
5,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,36,17,1940,13.0,8.0,0.937838704,6554.49,4484,0.52,0.0
6,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,37,25,1941,21.0,8.0,-1.076110268,8539.42,4483,0.52,0.0
7,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,37,25,1941,21.0,8.0,0.9297443679999999,6554.49,4484,0.52,0.0
8,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,38,33,1942,29.0,8.0,-1.084879132,8539.42,4483,0.52,0.0
9,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,38,33,1942,29.0,8.0,0.921650032,6554.49,4484,0.52,0.0
10,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,39,41,1943,37.0,8.0,-1.093647996,8539.42,4483,0.52,0.0
11,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,39,41,1943,37.0,8.0,0.913555696,6554.49,4484,0.52,0.0
