,DUID,BIDTYPE,CAPACITYBAND,BID,INDEX,PRICE,DISPATCHED
0,AGLHAL,ENERGY,BANDAVAIL1,20,0,-990.0,20.0
1,APD01,RAISE5MIN,BANDAVAIL1,10,1,0.0,9.0
2,APD01,RAISE60SEC,BANDAVAIL1,10,2,0.0,9.0
3,APD01,RAISE6SEC,BANDAVAIL1,10,3,0.0,8.0
4,BDL01,ENERGY,BANDAVAIL1,38,4,-1017.47,38.0
5,BDL02,ENERGY,BANDAVAIL1,41,5,-1017.47,41.0
6,BLOWERNG,ENERGY,BANDAVAIL1,80,6,-981.5,73.0
7,BLUFF1,ENERGY,BANDAVAIL1,53,7,-986.3,3.716
8,BOCORWF1,ENERGY,BANDAVAIL1,113,8,-973.88,5.629
9,BRAEMAR2,ENERGY,BANDAVAIL1,110,9,-954.9,110.0
10,BROKENH1,ENERGY,BANDAVAIL1,53,10,-1122.0,52.664
11,BW01,ENERGY,BANDAVAIL1,250,11,-959.0,250.0
12,BW01,LOWER5MIN,BANDAVAIL1,3,12,0.01,3.0
13,BW01,LOWER60SEC,BANDAVAIL1,3,13,0.01,3.0
14,BW01,LOWER6SEC,BANDAVAIL1,3,14,0.01,3.0
15,BW01,RAISE5MIN,BANDAVAIL1,16,15,0.01,10.0
16,BW01,RAISE60SEC,BANDAVAIL1,13,16,0.01,6.0550459
17,BW01,RAISE6SEC,BANDAVAIL1,13,17,0.01,6.0550459
18,BW02,ENERGY,BANDAVAIL1,250,18,-959.0,250.0
19,BW04,ENERGY,BANDAVAIL1,250,19,-960.3,250.0
20,BW04,LOWER5MIN,BANDAVAIL1,3,20,0.01,3.0
21,BW04,LOWER60SEC,BANDAVAIL1,3,21,0.01,3.0
22,BW04,LOWER6SEC,BANDAVAIL1,3,22,0.01,3.0
23,BW04,LOWERREG,BANDAVAIL1,5,23,0.01,5.0
24,BW04,RAISE5MIN,BANDAVAIL1,16,24,0.01,2.0
25,BW04,RAISE6SEC,BANDAVAIL1,13,25,0.01,1.2110092
26,BW04,RAISEREG,BANDAVAIL1,8,26,7.4,8.0
27,BW04,RAISE60SEC,BANDAVAIL1,13,27,0.01,1.2110092
28,CALL_B_1,ENERGY,BANDAVAIL1,140,28,-945.6,140.0
29,CALL_B_2,ENERGY,BANDAVAIL1,140,29,-945.6,140.0
30,CLEMGPWF,ENERGY,BANDAVAIL1,57,30,-982.2,16.799
31,CPP_3,ENERGY,BANDAVAIL1,300,31,-941.0,300.0
32,CPP_4,ENERGY,BANDAVAIL1,406,32,-941.0,406.0
33,CPSA,ENERGY,BANDAVAIL1,72,33,-964.0,72.0
34,DDPS1,ENERGY,BANDAVAIL1,255,34,-954.9,255.0
35,ER01,ENERGY,BANDAVAIL1,210,35,-982.9,210.0
36,ER01,LOWER5MIN,BANDAVAIL1,10,36,0.01,10.0
37,ER01,LOWER60SEC,BANDAVAIL1,4,37,0.01,4.0
38,ER01,LOWERREG,BANDAVAIL1,4,38,0.01,4.0
39,ER01,RAISE5MIN,BANDAVAIL1,12,39,0.01,0.0
40,ER01,RAISE60SEC,BANDAVAIL1,7,40,0.01,0.0
41,ER01,RAISE6SEC,BANDAVAIL1,7,41,0.01,0.0
42,ER01,RAISEREG,BANDAVAIL1,5,42,0.01,0.0
43,ER02,ENERGY,BANDAVAIL1,210,43,-982.9,210.0
44,ER02,LOWER5MIN,BANDAVAIL1,10,44,0.01,10.0
45,ER02,LOWER60SEC,BANDAVAIL1,4,45,0.01,4.0
46,ER02,LOWERREG,BANDAVAIL1,4,46,0.01,4.0
47,ER02,RAISE5MIN,BANDAVAIL1,12,47,0.01,0.0
48,ER02,RAISE60SEC,BANDAVAIL1,7,48,0.01,0.0
49,ER02,RAISE6SEC,BANDAVAIL1,7,49,0.01,0.0
50,ER02,RAISEREG,BANDAVAIL1,5,50,0.01,0.0
51,ER03,ENERGY,BANDAVAIL1,210,51,-984.6,210.0
52,ER03,LOWER5MIN,BANDAVAIL1,10,52,0.01,10.0
53,ER03,LOWER60SEC,BANDAVAIL1,4,53,0.01,4.0
54,ER03,LOWERREG,BANDAVAIL1,4,54,0.01,4.0
55,ER03,RAISE5MIN,BANDAVAIL1,12,55,0.01,0.0
56,ER03,RAISE60SEC,BANDAVAIL1,7,56,0.01,0.0
57,ER03,RAISE6SEC,BANDAVAIL1,7,57,0.01,0.0
58,ER03,RAISEREG,BANDAVAIL1,5,58,0.01,0.0
59,GORDON,ENERGY,BANDAVAIL1,10,59,-967.56,10.0
60,GSTONE1,ENERGY,BANDAVAIL1,110,60,-966.2,110.0
61,GSTONE1,LOWER6SEC,BANDAVAIL1,5,61,0.45,0.0
62,GSTONE1,RAISE60SEC,BANDAVAIL1,3,62,0.74,3.0
63,GSTONE1,RAISE6SEC,BANDAVAIL1,3,63,0.74,3.0
64,GSTONE1,RAISEREG,BANDAVAIL1,5,64,0.77,5.0
65,GSTONE2,ENERGY,BANDAVAIL1,110,65,-966.2,110.0
66,GSTONE3,ENERGY,BANDAVAIL1,110,66,-960.3,110.0
67,GSTONE5,ENERGY,BANDAVAIL1,110,67,-966.2,110.0
68,GSTONE5,LOWER6SEC,BANDAVAIL1,5,68,0.45,0.0
69,GSTONE5,RAISE60SEC,BANDAVAIL1,3,69,0.45,3.0
70,GSTONE5,RAISE6SEC,BANDAVAIL1,3,70,0.74,3.0
71,GSTONE5,RAISEREG,BANDAVAIL1,5,71,0.77,5.0
72,GSTONE6,ENERGY,BANDAVAIL1,110,72,-966.2,110.0
73,GSTONE6,LOWER6SEC,BANDAVAIL1,5,73,0.45,0.0
74,GSTONE6,RAISE60SEC,BANDAVAIL1,3,74,0.45,3.0
75,GSTONE6,RAISE6SEC,BANDAVAIL1,3,75,0.74,3.0
76,GSTONE6,RAISEREG,BANDAVAIL1,5,76,0.77,5.0
77,HALLWF1,ENERGY,BANDAVAIL1,95,77,-990.0,36.113
78,HALLWF2,ENERGY,BANDAVAIL1,71,78,-987.1,22.115
79,HUMENSW,ENERGY,BANDAVAIL1,70,79,-1000.0,37.0
80,HWPS1,ENERGY,BANDAVAIL1,220,80,-970.1,170.0
81,HWPS2,ENERGY,BANDAVAIL1,220,81,-970.1,180.0
82,HWPS3,ENERGY,BANDAVAIL1,220,82,-970.1,180.0
83,HWPS4,ENERGY,BANDAVAIL1,220,83,-970.1,160.0
84,HWPS5,ENERGY,BANDAVAIL1,220,84,-970.1,180.0
85,HWPS6,ENERGY,BANDAVAIL1,220,85,-970.1,175.0
86,HWPS7,ENERGY,BANDAVAIL1,220,86,-970.1,190.0
87,HWPS8,ENERGY,BANDAVAIL1,220,87,-970.1,175.0
88,KAREEYA3,ENERGY,BANDAVAIL1,5,88,-1049.5,5.0
89,KPP_1,ENERGY,BANDAVAIL1,300,89,-958.8,300.0
90,LADBROK1,ENERGY,BANDAVAIL1,50,90,-887.2,38.0
91,LADBROK2,ENERGY,BANDAVAIL1,50,91,-887.2,38.0
92,LD01,ENERGY,BANDAVAIL1,220,92,-959.3,220.0
93,LD01,LOWER60SEC,BANDAVAIL1,1,93,0.04,0.0
94,LD01,LOWER6SEC,BANDAVAIL1,1,94,0.04,0.0
95,LD01,LOWERREG,BANDAVAIL1,1,95,0.01,1.0
96,LD01,RAISE60SEC,BANDAVAIL1,2,96,0.01,2.0
97,LD01,RAISE6SEC,BANDAVAIL1,2,97,0.01,2.0
98,LD01,RAISEREG,BANDAVAIL1,1,98,0.01,1.0
99,LD02,ENERGY,BANDAVAIL1,220,99,-959.3,220.0
100,LD02,LOWER60SEC,BANDAVAIL1,1,100,0.04,0.0
101,LD02,LOWER6SEC,BANDAVAIL1,1,101,0.04,0.0
102,LD02,LOWERREG,BANDAVAIL1,1,102,0.01,1.0
103,LD02,RAISE6SEC,BANDAVAIL1,2,103,0.01,2.0
104,LD02,RAISEREG,BANDAVAIL1,1,104,0.01,1.0
105,LD02,RAISE60SEC,BANDAVAIL1,2,105,0.01,2.0
106,LD03,ENERGY,BANDAVAIL1,220,106,-959.3,220.0
107,LD03,LOWER60SEC,BANDAVAIL1,1,107,0.04,0.0
108,LD03,LOWER6SEC,BANDAVAIL1,1,108,0.04,0.0
109,LD03,LOWERREG,BANDAVAIL1,1,109,0.01,1.0
110,LD03,RAISE60SEC,BANDAVAIL1,2,110,0.01,2.0
111,LD03,RAISE6SEC,BANDAVAIL1,2,111,0.01,2.0
