,DUID,BIDTYPE,CAPACITYBAND,BID,INDEX,PRICE,DISPATCHED
0,APD01,RAISE5MIN,BANDAVAIL1,10,0,0.0,10.0
1,APD01,RAISE60SEC,BANDAVAIL1,10,1,0.0,10.0
2,APD01,RAISE6SEC,BANDAVAIL1,10,2,0.0,8.0
3,BDL01,ENERGY,BANDAVAIL1,20,3,-1017.47,20.0
4,BLOWERNG,ENERGY,BANDAVAIL1,80,4,-981.5,73.0
5,BLUFF1,ENERGY,BANDAVAIL1,53,5,-986.3,16.253
6,BOCORWF1,ENERGY,BANDAVAIL1,113,6,-973.88,72.999
7,BW01,ENERGY,BANDAVAIL1,300,7,-959.0,300.0
8,BW01,LOWER5MIN,BANDAVAIL1,4,8,0.01,4.0
9,BW01,LOWER60SEC,BANDAVAIL1,4,9,0.01,4.0
10,BW01,LOWER6SEC,BANDAVAIL1,4,10,0.01,4.0
11,BW01,LOWERREG,BANDAVAIL1,5,11,0.01,5.0
12,BW01,RAISE5MIN,BANDAVAIL1,16,12,0.01,16.0
13,BW01,RAISE60SEC,BANDAVAIL1,13,13,0.01,13.0
14,BW01,RAISE6SEC,BANDAVAIL1,13,14,0.01,13.0
15,BW01,RAISEREG,BANDAVAIL1,8,15,7.4,0.0
16,BW02,ENERGY,BANDAVAIL1,300,16,-959.0,300.0
17,BW02,LOWER5MIN,BANDAVAIL1,4,17,0.01,4.0
18,BW02,LOWER60SEC,BANDAVAIL1,4,18,0.01,4.0
19,BW02,LOWER6SEC,BANDAVAIL1,4,19,0.01,4.0
20,BW02,LOWERREG,BANDAVAIL1,5,20,0.01,5.0
21,BW02,RAISE5MIN,BANDAVAIL1,16,21,0.01,16.0
22,BW02,RAISE60SEC,BANDAVAIL1,13,22,0.01,13.0
23,BW02,RAISE6SEC,BANDAVAIL1,13,23,0.01,13.0
24,BW02,RAISEREG,BANDAVAIL1,8,24,7.4,0.0
25,BW04,ENERGY,BANDAVAIL1,320,25,-960.3,320.0
26,BW04,LOWER5MIN,BANDAVAIL1,4,26,0.01,4.0
27,BW04,LOWER60SEC,BANDAVAIL1,4,27,0.01,4.0
28,BW04,LOWER6SEC,BANDAVAIL1,4,28,0.01,4.0
29,BW04,LOWERREG,BANDAVAIL1,5,29,0.01,5.0
30,BW04,RAISE5MIN,BANDAVAIL1,16,30,0.01,16.0
31,BW04,RAISE60SEC,BANDAVAIL1,13,31,0.01,13.0
32,BW04,RAISE6SEC,BANDAVAIL1,13,32,0.01,13.0
33,BW04,RAISEREG,BANDAVAIL1,8,33,7.4,0.40652696
34,CALL_B_1,ENERGY,BANDAVAIL1,140,34,-945.6,140.0
35,CALL_B_2,ENERGY,BANDAVAIL1,140,35,-945.6,140.0
36,CLEMGPWF,ENERGY,BANDAVAIL1,57,36,-982.2,46.293
37,CPP_3,ENERGY,BANDAVAIL1,406,37,-941.0,318.92502
38,CPP_4,ENERGY,BANDAVAIL1,406,38,-941.0,406.0
39,CPSA,ENERGY,BANDAVAIL1,72,39,-964.0,72.0
40,DDPS1,ENERGY,BANDAVAIL1,255,40,-954.9,255.0
41,ER01,ENERGY,BANDAVAIL1,210,41,-982.9,210.0
42,ER01,RAISE5MIN,BANDAVAIL1,8,42,0.01,8.0
43,ER01,RAISE60SEC,BANDAVAIL1,6,43,0.01,6.0
44,ER01,RAISE6SEC,BANDAVAIL1,6,44,0.01,6.0
45,ER01,RAISEREG,BANDAVAIL1,4,45,0.01,4.0
46,ER02,ENERGY,BANDAVAIL1,210,46,-982.9,210.0
47,ER02,RAISE5MIN,BANDAVAIL1,8,47,0.01,8.0
48,ER02,RAISE60SEC,BANDAVAIL1,6,48,0.01,6.0
49,ER02,RAISE6SEC,BANDAVAIL1,6,49,0.01,6.0
50,ER02,RAISEREG,BANDAVAIL1,4,50,0.01,4.0
51,ER03,ENERGY,BANDAVAIL1,210,51,-984.6,210.0
52,ER03,RAISE5MIN,BANDAVAIL1,8,52,0.01,8.0
53,ER03,RAISE60SEC,BANDAVAIL1,6,53,0.01,6.0
54,ER03,RAISE6SEC,BANDAVAIL1,6,54,0.01,6.0
55,ER03,RAISEREG,BANDAVAIL1,4,55,0.01,4.0
56,GORDON,ENERGY,BANDAVAIL1,15,56,-967.56,15.0
57,GSTONE1,ENERGY,BANDAVAIL1,110,57,-966.2,110.0
58,GSTONE1,LOWER6SEC,BANDAVAIL1,5,58,0.45,0.0
59,GSTONE1,RAISE60SEC,BANDAVAIL1,3,59,0.74,3.0
60,GSTONE1,RAISE6SEC,BANDAVAIL1,3,60,0.74,3.0
61,GSTONE1,RAISEREG,BANDAVAIL1,5,61,0.77,5.0
62,GSTONE2,ENERGY,BANDAVAIL1,110,62,-966.2,110.0
63,GSTONE3,ENERGY,BANDAVAIL1,110,63,-960.3,110.0
64,GSTONE5,ENERGY,BANDAVAIL1,110,64,-966.2,110.0
65,GSTONE6,ENERGY,BANDAVAIL1,110,65,-966.2,110.0
66,GSTONE6,LOWER6SEC,BANDAVAIL1,5,66,0.45,0.0
67,GSTONE6,RAISE60SEC,BANDAVAIL1,3,67,0.45,3.0
68,GSTONE6,RAISE6SEC,BANDAVAIL1,3,68,0.74,3.0
69,GSTONE6,RAISEREG,BANDAVAIL1,5,69,0.77,5.0
70,HALLWF1,ENERGY,BANDAVAIL1,95,70,-990.0,75.713
71,HALLWF2,ENERGY,BANDAVAIL1,71,71,-987.1,62.178
