,DUID,BIDTYPE,CAPACITYBAND,BID,INDEX,PRICE,DISPATCHED
0,APD01,RAISE5MIN,BANDAVAIL1,10,0,0.0,9.0
1,APD01,RAISE60SEC,BANDAVAIL1,10,1,0.0,9.0
2,APD01,RAISE6SEC,BANDAVAIL1,10,2,0.0,8.0
3,BLOWERNG,ENERGY,BANDAVAIL1,80,3,-981.5,70.0
4,BLUFF1,ENERGY,BANDAVAIL1,53,4,-986.3,19.356
5,BOCORWF1,ENERGY,BANDAVAIL1,113,5,-973.88,60.793
6,BRAEMAR1,ENERGY,BANDAVAIL1,150,6,-954.9,150.0
7,BRAEMAR2,ENERGY,BANDAVAIL1,144,7,-954.9,144.0
8,BRAEMAR5,ENERGY,BANDAVAIL1,80,8,-954.9,80.0
9,BROKENH1,ENERGY,BANDAVAIL1,53,9,-1122.0,51.753
10,BW01,ENERGY,BANDAVAIL1,250,10,-959.0,250.0
11,BW01,LOWER5MIN,BANDAVAIL1,3,11,0.01,3.0
12,BW01,LOWER60SEC,BANDAVAIL1,3,12,0.01,3.0
13,BW01,LOWER6SEC,BANDAVAIL1,3,13,0.01,3.0
14,BW01,LOWERREG,BANDAVAIL1,5,14,0.01,5.0
15,BW01,RAISE5MIN,BANDAVAIL1,16,15,0.01,16.0
16,BW01,RAISE60SEC,BANDAVAIL1,13,16,0.01,13.0
17,BW01,RAISE6SEC,BANDAVAIL1,13,17,0.01,13.0
18,BW01,RAISEREG,BANDAVAIL1,8,18,7.4,0.0
19,BW02,ENERGY,BANDAVAIL1,250,19,-959.0,250.0
20,BW02,LOWER5MIN,BANDAVAIL1,3,20,0.01,3.0
21,BW02,LOWER60SEC,BANDAVAIL1,3,21,0.01,3.0
22,BW02,LOWER6SEC,BANDAVAIL1,3,22,0.01,3.0
23,BW02,LOWERREG,BANDAVAIL1,5,23,0.01,5.0
24,BW02,RAISE5MIN,BANDAVAIL1,16,24,0.01,16.0
25,BW02,RAISE60SEC,BANDAVAIL1,13,25,0.01,13.0
26,BW02,RAISE6SEC,BANDAVAIL1,13,26,0.01,13.0
27,BW02,RAISEREG,BANDAVAIL1,8,27,7.4,0.0
28,BW04,ENERGY,BANDAVAIL1,250,28,-960.3,250.0
29,BW04,LOWER5MIN,BANDAVAIL1,3,29,0.01,3.0
30,BW04,LOWER60SEC,BANDAVAIL1,3,30,0.01,3.0
31,BW04,LOWER6SEC,BANDAVAIL1,3,31,0.01,3.0
32,BW04,LOWERREG,BANDAVAIL1,5,32,0.01,5.0
33,BW04,RAISE5MIN,BANDAVAIL1,16,33,0.01,16.0
34,BW04,RAISE60SEC,BANDAVAIL1,13,34,0.01,13.0
35,BW04,RAISE6SEC,BANDAVAIL1,13,35,0.01,13.0
36,BW04,RAISEREG,BANDAVAIL1,8,36,7.4,0.0
37,CALL_B_1,ENERGY,BANDAVAIL1,140,37,-945.6,140.0
38,CALL_B_2,ENERGY,BANDAVAIL1,140,38,-945.6,140.0
39,CLEMGPWF,ENERGY,BANDAVAIL1,57,39,-982.2,18.127
40,CPP_3,ENERGY,BANDAVAIL1,406,40,-941.0,406.0
41,CPP_4,ENERGY,BANDAVAIL1,406,41,-941.0,406.0
42,CPSA,ENERGY,BANDAVAIL1,136,42,-964.0,136.0
43,DDPS1,ENERGY,BANDAVAIL1,255,43,-954.9,255.0
44,ER01,ENERGY,BANDAVAIL1,210,44,-982.9,210.0
45,ER01,LOWER5MIN,BANDAVAIL1,10,45,0.01,10.0
46,ER01,LOWER60SEC,BANDAVAIL1,4,46,0.01,4.0
47,ER01,LOWERREG,BANDAVAIL1,4,47,0.01,4.0
48,ER01,RAISE5MIN,BANDAVAIL1,14,48,0.01,14.0
49,ER01,RAISE60SEC,BANDAVAIL1,7,49,0.01,7.0
50,ER01,RAISE6SEC,BANDAVAIL1,8,50,0.01,8.0
51,ER01,RAISEREG,BANDAVAIL1,5,51,0.01,5.0
52,ER02,ENERGY,BANDAVAIL1,210,52,-982.9,210.0
53,ER02,LOWER5MIN,BANDAVAIL1,10,53,0.01,10.0
54,ER02,LOWER60SEC,BANDAVAIL1,4,54,0.01,4.0
55,ER02,LOWERREG,BANDAVAIL1,4,55,0.01,4.0
56,ER02,RAISE5MIN,BANDAVAIL1,14,56,0.01,14.0
57,ER02,RAISE60SEC,BANDAVAIL1,7,57,0.01,7.0
58,ER02,RAISE6SEC,BANDAVAIL1,8,58,0.01,8.0
59,ER02,RAISEREG,BANDAVAIL1,5,59,0.01,5.0
60,ER04,LOWER5MIN,BANDAVAIL1,10,60,0.01,10.0
61,ER04,LOWER60SEC,BANDAVAIL1,4,61,0.01,4.0
62,ER04,RAISE5MIN,BANDAVAIL1,14,62,0.01,14.0
63,ER04,RAISE60SEC,BANDAVAIL1,7,63,0.01,7.0
64,ER04,RAISE6SEC,BANDAVAIL1,8,64,0.01,8.0
65,ER04,ENERGY,BANDAVAIL1,210,65,-984.6,210.0
66,GORDON,ENERGY,BANDAVAIL1,10,66,-967.56,10.0
67,GSTONE1,ENERGY,BANDAVAIL1,110,67,-966.2,110.0
68,GSTONE1,LOWER6SEC,BANDAVAIL1,5,68,0.45,0.0
69,GSTONE1,RAISE60SEC,BANDAVAIL1,3,69,0.74,3.0
70,GSTONE1,RAISE6SEC,BANDAVAIL1,3,70,0.74,3.0
71,GSTONE1,RAISEREG,BANDAVAIL1,5,71,0.77,5.0
72,GSTONE2,ENERGY,BANDAVAIL1,110,72,-966.2,110.0
73,GSTONE2,LOWER6SEC,BANDAVAIL1,5,73,0.45,0.0
74,GSTONE2,RAISE60SEC,BANDAVAIL1,3,74,0.45,0.0
75,GSTONE2,RAISE6SEC,BANDAVAIL1,3,75,0.74,0.0
76,GSTONE2,RAISEREG,BANDAVAIL1,5,76,0.77,0.0
77,GSTONE3,ENERGY,BANDAVAIL1,110,77,-960.3,110.0
78,GSTONE3,LOWER6SEC,BANDAVAIL1,5,78,0.45,0.0
79,GSTONE3,RAISE6SEC,BANDAVAIL1,3,79,0.74,3.0
80,GSTONE3,RAISEREG,BANDAVAIL1,5,80,0.77,5.0
81,GSTONE5,ENERGY,BANDAVAIL1,110,81,-966.2,110.0
82,GSTONE5,LOWER6SEC,BANDAVAIL1,5,82,0.45,0.0
83,GSTONE5,RAISE60SEC,BANDAVAIL1,3,83,0.45,3.0
84,GSTONE5,RAISE6SEC,BANDAVAIL1,3,84,0.74,3.0
85,GSTONE5,RAISEREG,BANDAVAIL1,5,85,0.77,5.0
86,GSTONE6,ENERGY,BANDAVAIL1,110,86,-966.2,110.0
87,GSTONE6,LOWER6SEC,BANDAVAIL1,5,87,0.45,0.0
88,GSTONE6,RAISE60SEC,BANDAVAIL1,3,88,0.45,3.0
89,GSTONE6,RAISE6SEC,BANDAVAIL1,3,89,0.74,3.0
90,GSTONE6,RAISEREG,BANDAVAIL1,5,90,0.77,5.0
91,HALLWF1,ENERGY,BANDAVAIL1,95,91,-990.0,39.218
92,HALLWF2,ENERGY,BANDAVAIL1,71,92,-987.1,24.334
93,HUMENSW,ENERGY,BANDAVAIL1,70,93,-1000.0,35.0
94,HWPS1,ENERGY,BANDAVAIL1,220,94,-970.1,170.0
95,HWPS2,ENERGY,BANDAVAIL1,220,95,-970.1,180.0
96,HWPS3,ENERGY,BANDAVAIL1,220,96,-970.1,180.0
97,HWPS4,ENERGY,BANDAVAIL1,220,97,-970.1,160.0
98,HWPS5,ENERGY,BANDAVAIL1,220,98,-970.1,130.0
99,HWPS6,ENERGY,BANDAVAIL1,220,99,-970.1,175.0
100,HWPS7,ENERGY,BANDAVAIL1,220,100,-970.1,180.0
101,HWPS8,ENERGY,BANDAVAIL1,220,101,-970.1,180.0
102,KAREEYA3,ENERGY,BANDAVAIL1,5,102,-1049.5,5.0
103,KPP_1,ENERGY,BANDAVAIL1,300,103,-958.8,300.0
104,LD01,ENERGY,BANDAVAIL1,220,104,-959.3,220.0
105,LD01,LOWER60SEC,BANDAVAIL1,1,105,0.04,1.0
106,LD01,LOWER6SEC,BANDAVAIL1,1,106,0.04,0.0
107,LD01,LOWERREG,BANDAVAIL1,1,107,0.01,1.0
108,LD01,RAISE60SEC,BANDAVAIL1,2,108,0.01,2.0
109,LD01,RAISE6SEC,BANDAVAIL1,2,109,0.01,2.0
110,LD01,RAISEREG,BANDAVAIL1,1,110,0.01,1.0
111,LD02,ENERGY,BANDAVAIL1,220,111,-959.3,220.0
112,LD02,LOWER60SEC,BANDAVAIL1,1,112,0.04,1.0
113,LD02,LOWER6SEC,BANDAVAIL1,1,113,0.04,0.0
114,LD02,LOWERREG,BANDAVAIL1,1,114,0.01,1.0
115,LD02,RAISE60SEC,BANDAVAIL1,2,115,0.01,2.0
116,LD02,RAISE6SEC,BANDAVAIL1,2,116,0.01,2.0
117,LD02,RAISEREG,BANDAVAIL1,1,117,0.01,1.0
118,LD03,ENERGY,BANDAVAIL1,220,118,-959.3,220.0
119,LD03,LOWER60SEC,BANDAVAIL1,1,119,0.04,1.0
120,LD03,LOWER6SEC,BANDAVAIL1,1,120,0.04,0.0
121,LD03,LOWERREG,BANDAVAIL1,1,121,0.01,1.0
122,LD03,RAISE60SEC,BANDAVAIL1,2,122,0.01,2.0
123,LD03,RAISE6SEC,BANDAVAIL1,2,123,0.01,2.0
124,LD03,RAISEREG,BANDAVAIL1,1,124,0.01,1.0
125,LD04,ENERGY,BANDAVAIL1,220,125,-959.3,220.0
126,LD04,LOWER60SEC,BANDAVAIL1,1,126,0.04,1.0
127,LD04,LOWER6SEC,BANDAVAIL1,1,127,0.04,0.0
128,LD04,LOWERREG,BANDAVAIL1,1,128,0.01,1.0
129,LD04,RAISE60SEC,BANDAVAIL1,2,129,0.01,2.0
130,LD04,RAISE6SEC,BANDAVAIL1,2,130,0.01,2.0
