,State,Service,Price,DateTime
2,SA1,ENERGY,84.7318336251438,2017/05/01 01:25:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 01:25:00
4,VIC1,ENERGY,77.00180400481126,2017/05/01 01:25:00
0,NSW1,ENERGY,90.67615399958704,2017/05/01 01:30:00
1,QLD1,ENERGY,84.0078463762131,2017/05/01 01:30:00
2,SA1,ENERGY,85.31962049659303,2017/05/01 01:30:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 01:30:00
4,VIC1,ENERGY,77.49879242721455,2017/05/01 01:30:00
0,NSW1,ENERGY,96.00121790317671,2017/05/01 01:35:00
1,QLD1,ENERGY,89.63825718055357,2017/05/01 01:35:00
2,SA1,ENERGY,90.27858530396637,2017/05/01 01:35:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 01:35:00
4,VIC1,ENERGY,81.95335968740427,2017/05/01 01:35:00
0,NSW1,ENERGY,103.23526818031584,2017/05/01 01:40:00
1,QLD1,ENERGY,94.93776896527558,2017/05/01 01:40:00
2,SA1,ENERGY,97.22561442589685,2017/05/01 01:40:00
3,TAS1,ENERGY,139.7314052215015,2017/05/01 01:40:00
4,VIC1,ENERGY,87.262278461709,2017/05/01 01:40:00
0,NSW1,ENERGY,96.00121790317671,2017/05/01 01:45:00
1,QLD1,ENERGY,88.30576027605744,2017/05/01 01:45:00
2,SA1,ENERGY,90.41874708210584,2017/05/01 01:45:00
3,TAS1,ENERGY,100.29686330695704,2017/05/01 01:45:00
4,VIC1,ENERGY,81.15654957880875,2017/05/01 01:45:00
0,NSW1,ENERGY,96.00121790317671,2017/05/01 01:50:00
1,QLD1,ENERGY,87.64815193342204,2017/05/01 01:50:00
2,SA1,ENERGY,89.12657068913093,2017/05/01 01:50:00
3,TAS1,ENERGY,98.48864508271664,2017/05/01 01:50:00
4,VIC1,ENERGY,80.4432605297882,2017/05/01 01:50:00
0,NSW1,ENERGY,95.80641853788578,2017/05/01 01:55:00
1,QLD1,ENERGY,89.48348233364064,2017/05/01 01:55:00
2,SA1,ENERGY,88.94476284220212,2017/05/01 01:55:00
3,TAS1,ENERGY,226.09034045330606,2017/05/01 01:55:00
4,VIC1,ENERGY,80.27159938480449,2017/05/01 01:55:00
0,NSW1,ENERGY,95.80641853788578,2017/05/01 02:00:00
1,QLD1,ENERGY,88.14094699066939,2017/05/01 02:00:00
2,SA1,ENERGY,87.63920877678707,2017/05/01 02:00:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 02:00:00
4,VIC1,ENERGY,79.53513544550404,2017/05/01 02:00:00
0,NSW1,ENERGY,103.94696820886931,2017/05/01 02:05:00
1,QLD1,ENERGY,94.93776896527554,2017/05/01 02:05:00
2,SA1,ENERGY,96.14440540156882,2017/05/01 02:05:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 02:05:00
4,VIC1,ENERGY,86.21110736743007,2017/05/01 02:05:00
0,NSW1,ENERGY,96.00121790317671,2017/05/01 02:10:00
1,QLD1,ENERGY,87.71861682736242,2017/05/01 02:10:00
2,SA1,ENERGY,89.83409966507682,2017/05/01 02:10:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 02:10:00
4,VIC1,ENERGY,79.61630603877079,2017/05/01 02:10:00
0,NSW1,ENERGY,91.85297803655337,2017/05/01 02:15:00
1,QLD1,ENERGY,85.04647943167875,2017/05/01 02:15:00
2,SA1,ENERGY,85.2388711488401,2017/05/01 02:15:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 02:15:00
4,VIC1,ENERGY,75.5371793134189,2017/05/01 02:15:00
0,NSW1,ENERGY,91.88967744452492,2017/05/01 02:20:00
1,QLD1,ENERGY,83.97232788970781,2017/05/01 02:20:00
2,SA1,ENERGY,84.76676062571444,2017/05/01 02:20:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 02:20:00
4,VIC1,ENERGY,75.5305136824189,2017/05/01 02:20:00
0,NSW1,ENERGY,93.56138595997733,2017/05/01 02:25:00
1,QLD1,ENERGY,86.16305327738753,2017/05/01 02:25:00
2,SA1,ENERGY,83.81308991523522,2017/05/01 02:25:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 02:25:00
4,VIC1,ENERGY,75.5342145334189,2017/05/01 02:25:00
0,NSW1,ENERGY,88.89396424484143,2017/05/01 02:30:00
1,QLD1,ENERGY,82.38524147204741,2017/05/01 02:30:00
2,SA1,ENERGY,79.65304400929722,2017/05/01 02:30:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 02:30:00
4,VIC1,ENERGY,71.77527270741888,2017/05/01 02:30:00
0,NSW1,ENERGY,86.48282012513071,2017/05/01 02:35:00
1,QLD1,ENERGY,79.54033816475531,2017/05/01 02:35:00
2,SA1,ENERGY,78.33332043795686,2017/05/01 02:35:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 02:35:00
4,VIC1,ENERGY,71.00104275286758,2017/05/01 02:35:00
0,NSW1,ENERGY,87.16727017726768,2017/05/01 02:40:00
1,QLD1,ENERGY,81.40269551616291,2017/05/01 02:40:00
2,SA1,ENERGY,77.87607372262855,2017/05/01 02:40:00
3,TAS1,ENERGY,223.4527687296425,2017/05/01 02:40:00
4,VIC1,ENERGY,71.00104275286758,2017/05/01 02:40:00
0,NSW1,ENERGY,86.44873962461064,2017/05/01 02:45:00
1,QLD1,ENERGY,79.5318180396263,2017/05/01 02:45:00
2,SA1,ENERGY,77.3258156412927,2017/05/01 02:45:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 02:45:00
4,VIC1,ENERGY,71.00104275286758,2017/05/01 02:45:00
0,NSW1,ENERGY,79.90407055435561,2017/05/01 02:50:00
1,QLD1,ENERGY,74.07654316568951,2017/05/01 02:50:00
2,SA1,ENERGY,70.93914287771254,2017/05/01 02:50:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 02:50:00
4,VIC1,ENERGY,66.2038465494189,2017/05/01 02:50:00
0,NSW1,ENERGY,80.66971803969993,2017/05/01 02:55:00
1,QLD1,ENERGY,75.33905051938711,2017/05/01 02:55:00
2,SA1,ENERGY,70.50822204052253,2017/05/01 02:55:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 02:55:00
4,VIC1,ENERGY,66.20384654941914,2017/05/01 02:55:00
0,NSW1,ENERGY,80.00028460454591,2017/05/01 03:00:00
1,QLD1,ENERGY,73.71547400699372,2017/05/01 03:00:00
