,State,Service,Price,DateTime
0,NSW1,ENERGY,55.690693176141316,2017/03/01 00:05:00
1,QLD1,ENERGY,54.12532932360862,2017/03/01 00:05:00
2,SA1,ENERGY,78.6891797382356,2017/03/01 00:05:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 00:05:00
4,VIC1,ENERGY,54.00021352782481,2017/03/01 00:05:00
0,NSW1,ENERGY,62.66936980232192,2017/03/01 00:10:00
1,QLD1,ENERGY,60.935048635080015,2017/03/01 00:10:00
2,SA1,ENERGY,78.6891797382356,2017/03/01 00:10:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 00:10:00
4,VIC1,ENERGY,35.20518358531317,2017/03/01 00:10:00
0,NSW1,ENERGY,63.115609350486395,2017/03/01 00:15:00
1,QLD1,ENERGY,60.935048635080015,2017/03/01 00:15:00
2,SA1,ENERGY,81.09848021382085,2017/03/01 00:15:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 00:15:00
4,VIC1,ENERGY,35.20518358531317,2017/03/01 00:15:00
0,NSW1,ENERGY,51.07116386866382,2017/03/01 00:20:00
1,QLD1,ENERGY,49.32048211874428,2017/03/01 00:20:00
2,SA1,ENERGY,59.98601957259841,2017/03/01 00:20:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 00:20:00
4,VIC1,ENERGY,35.20518358531317,2017/03/01 00:20:00
0,NSW1,ENERGY,64.92769582679641,2017/03/01 00:25:00
1,QLD1,ENERGY,60.935048635080015,2017/03/01 00:25:00
2,SA1,ENERGY,74.2486988874687,2017/03/01 00:25:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 00:25:00
4,VIC1,ENERGY,35.20518358531317,2017/03/01 00:25:00
0,NSW1,ENERGY,45.29584898000609,2017/03/01 00:30:00
1,QLD1,ENERGY,42.651477316553354,2017/03/01 00:30:00
2,SA1,ENERGY,52.97708095081975,2017/03/01 00:30:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 00:30:00
4,VIC1,ENERGY,35.20518358531317,2017/03/01 00:30:00
0,NSW1,ENERGY,66.87502408915019,2017/03/01 00:35:00
1,QLD1,ENERGY,62.3827612075825,2017/03/01 00:35:00
2,SA1,ENERGY,124.98502097064109,2017/03/01 00:35:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 00:35:00
4,VIC1,ENERGY,16.952623343030922,2017/03/01 00:35:00
0,NSW1,ENERGY,66.8750240951502,2017/03/01 00:40:00
1,QLD1,ENERGY,62.86894263875436,2017/03/01 00:40:00
2,SA1,ENERGY,96.8563419563068,2017/03/01 00:40:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 00:40:00
4,VIC1,ENERGY,35.20518358531317,2017/03/01 00:40:00
0,NSW1,ENERGY,105.96454640250262,2017/03/01 00:45:00
1,QLD1,ENERGY,98.18558308654849,2017/03/01 00:45:00
2,SA1,ENERGY,132.26075287068005,2017/03/01 00:45:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 00:45:00
4,VIC1,ENERGY,34.40518358531317,2017/03/01 00:45:00
0,NSW1,ENERGY,68.16525893068557,2017/03/01 00:50:00
1,QLD1,ENERGY,62.68666120465609,2017/03/01 00:50:00
2,SA1,ENERGY,106.96781606759419,2017/03/01 00:50:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 00:50:00
4,VIC1,ENERGY,25.197984161267097,2017/03/01 00:50:00
0,NSW1,ENERGY,55.90175581041307,2017/03/01 00:55:00
1,QLD1,ENERGY,51.761839480361324,2017/03/01 00:55:00
2,SA1,ENERGY,124.98502097064109,2017/03/01 00:55:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 00:55:00
4,VIC1,ENERGY,22.18844984802432,2017/03/01 00:55:00
0,NSW1,ENERGY,55.90175581041307,2017/03/01 01:00:00
1,QLD1,ENERGY,51.75910029432657,2017/03/01 01:00:00
2,SA1,ENERGY,124.98502097064109,2017/03/01 01:00:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 01:00:00
4,VIC1,ENERGY,25.397984161267008,2017/03/01 01:00:00
0,NSW1,ENERGY,67.0050508971598,2017/03/01 01:05:00
1,QLD1,ENERGY,61.00408093919823,2017/03/01 01:05:00
2,SA1,ENERGY,116.17502097064109,2017/03/01 01:05:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 01:05:00
4,VIC1,ENERGY,64.61431163744489,2017/03/01 01:05:00
0,NSW1,ENERGY,66.75454686539064,2017/03/01 01:10:00
1,QLD1,ENERGY,60.935048635080015,2017/03/01 01:10:00
2,SA1,ENERGY,103.5599039286491,2017/03/01 01:10:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 01:10:00
4,VIC1,ENERGY,35.20518358531317,2017/03/01 01:10:00
0,NSW1,ENERGY,30.776274290365247,2017/03/01 01:15:00
1,QLD1,ENERGY,28.087043442873256,2017/03/01 01:15:00
2,SA1,ENERGY,50.36044867229596,2017/03/01 01:15:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 01:15:00
4,VIC1,ENERGY,29.401498117814743,2017/03/01 01:15:00
0,NSW1,ENERGY,30.784074751167985,2017/03/01 01:20:00
1,QLD1,ENERGY,28.027053016454076,2017/03/01 01:20:00
2,SA1,ENERGY,124.98502097064109,2017/03/01 01:20:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 01:20:00
4,VIC1,ENERGY,29.42311080641908,2017/03/01 01:20:00
0,NSW1,ENERGY,30.784074751167985,2017/03/01 01:25:00
1,QLD1,ENERGY,28.09046821044105,2017/03/01 01:25:00
2,SA1,ENERGY,116.97501897064109,2017/03/01 01:25:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 01:25:00
4,VIC1,ENERGY,29.658916819013065,2017/03/01 01:25:00
0,NSW1,ENERGY,26.098334525186694,2017/03/01 01:30:00
1,QLD1,ENERGY,23.80796321379746,2017/03/01 01:30:00
2,SA1,ENERGY,124.98502097064109,2017/03/01 01:30:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 01:30:00
4,VIC1,ENERGY,25.14459985277106,2017/03/01 01:30:00
0,NSW1,ENERGY,30.776274290365247,2017/03/01 01:35:00
1,QLD1,ENERGY,27.882688981585094,2017/03/01 01:35:00
2,SA1,ENERGY,124.98502097064109,2017/03/01 01:35:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 01:35:00
4,VIC1,ENERGY,29.388572082612622,2017/03/01 01:35:00
0,NSW1,ENERGY,30.784074751167985,2017/03/01 01:40:00
1,QLD1,ENERGY,28.09262309567344,2017/03/01 01:40:00
2,SA1,ENERGY,124.98503346914322,2017/03/01 01:40:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 01:40:00
4,VIC1,ENERGY,29.11680926264485,2017/03/01 01:40:00
0,NSW1,ENERGY,26.608011447084266,2017/03/01 01:45:00
1,QLD1,ENERGY,24.462382937365042,2017/03/01 01:45:00
2,SA1,ENERGY,299.9900139804274,2017/03/01 01:45:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 01:45:00
4,VIC1,ENERGY,25.19797987760982,2017/03/01 01:45:00
0,NSW1,ENERGY,27.75231962007012,2017/03/01 01:50:00
1,QLD1,ENERGY,24.943217014247367,2017/03/01 01:50:00
2,SA1,ENERGY,124.98502097064109,2017/03/01 01:50:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 01:50:00
4,VIC1,ENERGY,26.218139665496437,2017/03/01 01:50:00
0,NSW1,ENERGY,37.23791328293737,2017/03/01 01:55:00
1,QLD1,ENERGY,33.99677269978407,2017/03/01 01:55:00
2,SA1,ENERGY,79.98801677651286,2017/03/01 01:55:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 01:55:00
4,VIC1,ENERGY,35.20518358531317,2017/03/01 01:55:00
0,NSW1,ENERGY,36.91944296760259,2017/03/01 02:00:00
1,QLD1,ENERGY,33.71472214686825,2017/03/01 02:00:00
2,SA1,ENERGY,79.98801677651286,2017/03/01 02:00:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 02:00:00
4,VIC1,ENERGY,35.2051828812095,2017/03/01 02:00:00
0,NSW1,ENERGY,27.721317695643307,2017/03/01 02:05:00
1,QLD1,ENERGY,24.943217014247367,2017/03/01 02:05:00
2,SA1,ENERGY,59.98601957259841,2017/03/01 02:05:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 02:05:00
4,VIC1,ENERGY,25.95217014247367,2017/03/01 02:05:00
0,NSW1,ENERGY,27.511520297336325,2017/03/01 02:10:00
1,QLD1,ENERGY,24.943217014247367,2017/03/01 02:10:00
2,SA1,ENERGY,260.37192532264834,2017/03/01 02:10:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 02:10:00
4,VIC1,ENERGY,25.799492711129453,2017/03/01 02:10:00
0,NSW1,ENERGY,30.752055211610678,2017/03/01 02:15:00
1,QLD1,ENERGY,27.683338374099222,2017/03/01 02:15:00
2,SA1,ENERGY,59.98601957259836,2017/03/01 02:15:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 02:15:00
4,VIC1,ENERGY,29.077667309448877,2017/03/01 02:15:00
0,NSW1,ENERGY,30.752055211610678,2017/03/01 02:20:00
1,QLD1,ENERGY,27.885410128894748,2017/03/01 02:20:00
2,SA1,ENERGY,50.34883314726477,2017/03/01 02:20:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 02:20:00
4,VIC1,ENERGY,28.826822795087804,2017/03/01 02:20:00
0,NSW1,ENERGY,30.752055211610692,2017/03/01 02:25:00
1,QLD1,ENERGY,27.979526793869898,2017/03/01 02:25:00
2,SA1,ENERGY,299.9900139804274,2017/03/01 02:25:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 02:25:00
4,VIC1,ENERGY,28.839960073074185,2017/03/01 02:25:00
0,NSW1,ENERGY,26.918174946004285,2017/03/01 02:30:00
1,QLD1,ENERGY,24.212944564434842,2017/03/01 02:30:00
2,SA1,ENERGY,59.98601957259836,2017/03/01 02:30:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 02:30:00
4,VIC1,ENERGY,25.197984161267097,2017/03/01 02:30:00
0,NSW1,ENERGY,26.903298056155517,2017/03/01 02:35:00
1,QLD1,ENERGY,24.39365190784737,2017/03/01 02:35:00
2,SA1,ENERGY,79.98801677651286,2017/03/01 02:35:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 02:35:00
4,VIC1,ENERGY,25.197984161267097,2017/03/01 02:35:00
0,NSW1,ENERGY,27.516222093743547,2017/03/01 02:40:00
1,QLD1,ENERGY,24.943217014247367,2017/03/01 02:40:00
2,SA1,ENERGY,51.97601957259836,2017/03/01 02:40:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 02:40:00
4,VIC1,ENERGY,25.53541388395623,2017/03/01 02:40:00
0,NSW1,ENERGY,26.917091432685403,2017/03/01 02:45:00
1,QLD1,ENERGY,24.564330453563702,2017/03/01 02:45:00
2,SA1,ENERGY,59.98601957259836,2017/03/01 02:45:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 02:45:00
4,VIC1,ENERGY,25.197984161267097,2017/03/01 02:45:00
0,NSW1,ENERGY,67.0050240951502,2017/03/01 02:50:00
1,QLD1,ENERGY,62.41658705013842,2017/03/01 02:50:00
2,SA1,ENERGY,97.59780411247617,2017/03/01 02:50:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 02:50:00
4,VIC1,ENERGY,39.99518322531317,2017/03/01 02:50:00
0,NSW1,ENERGY,67.0050240951502,2017/03/01 02:55:00
1,QLD1,ENERGY,61.993014790320906,2017/03/01 02:55:00
2,SA1,ENERGY,81.00766840848678,2017/03/01 02:55:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 02:55:00
4,VIC1,ENERGY,25.197984161267097,2017/03/01 02:55:00
0,NSW1,ENERGY,38.36714301855284,2017/03/01 03:00:00
1,QLD1,ENERGY,35.72631347997839,2017/03/01 03:00:00
2,SA1,ENERGY,61.0897170322246,2017/03/01 03:00:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 03:00:00
4,VIC1,ENERGY,35.665184135313176,2017/03/01 03:00:00
0,NSW1,ENERGY,37.90915291576678,2017/03/01 03:05:00
1,QLD1,ENERGY,35.032995032397444,2017/03/01 03:05:00
2,SA1,ENERGY,57.96994665226785,2017/03/01 03:05:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 03:05:00
4,VIC1,ENERGY,35.20518358531317,2017/03/01 03:05:00
0,NSW1,ENERGY,45.29584898000609,2017/03/01 03:10:00
1,QLD1,ENERGY,41.84851780168475,2017/03/01 03:10:00
2,SA1,ENERGY,65.77267788186995,2017/03/01 03:10:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 03:10:00
4,VIC1,ENERGY,35.20518358531317,2017/03/01 03:10:00
0,NSW1,ENERGY,26.614794548322653,2017/03/01 03:15:00
1,QLD1,ENERGY,23.946497386686293,2017/03/01 03:15:00
2,SA1,ENERGY,43.069355316016384,2017/03/01 03:15:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 03:15:00
4,VIC1,ENERGY,25.14459985277106,2017/03/01 03:15:00
0,NSW1,ENERGY,27.520225480074295,2017/03/01 03:20:00
1,QLD1,ENERGY,24.943217014247367,2017/03/01 03:20:00
2,SA1,ENERGY,42.45639843072469,2017/03/01 03:20:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 03:20:00
4,VIC1,ENERGY,25.77397580012388,2017/03/01 03:20:00
0,NSW1,ENERGY,27.328254998967587,2017/03/01 03:25:00
1,QLD1,ENERGY,24.943217014247367,2017/03/01 03:25:00
2,SA1,ENERGY,43.41438757794755,2017/03/01 03:25:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 03:25:00
4,VIC1,ENERGY,25.346035003097246,2017/03/01 03:25:00
0,NSW1,ENERGY,26.933064434845218,2017/03/01 03:30:00
1,QLD1,ENERGY,24.03968826493879,2017/03/01 03:30:00
2,SA1,ENERGY,51.97601957259836,2017/03/01 03:30:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 03:30:00
4,VIC1,ENERGY,25.19798416126712,2017/03/01 03:30:00
0,NSW1,ENERGY,28.141456254387805,2017/03/01 03:35:00
1,QLD1,ENERGY,24.943212025603994,2017/03/01 03:35:00
2,SA1,ENERGY,45.155598728061136,2017/03/01 03:35:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 03:35:00
4,VIC1,ENERGY,26.362580846582713,2017/03/01 03:35:00
0,NSW1,ENERGY,27.951009803840595,2017/03/01 03:40:00
1,QLD1,ENERGY,24.943217014247367,2017/03/01 03:40:00
2,SA1,ENERGY,59.98601357399638,2017/03/01 03:40:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 03:40:00
4,VIC1,ENERGY,26.196222060706162,2017/03/01 03:40:00
0,NSW1,ENERGY,27.731137840181695,2017/03/01 03:45:00
1,QLD1,ENERGY,24.943217014247356,2017/03/01 03:45:00
2,SA1,ENERGY,59.98601957259836,2017/03/01 03:45:00
3,TAS1,ENERGY,79.94762815993553,2017/03/01 03:45:00
