,State,Service,Price,DateTime
0,NSW1,ENERGY,299.79791856118015,2017/01/01 00:05:00
1,QLD1,ENERGY,312.7072169344258,2017/01/01 00:05:00
2,SA1,ENERGY,160.2785199233374,2017/01/01 00:05:00
3,TAS1,ENERGY,129.11857975005896,2017/01/01 00:05:00
4,VIC1,ENERGY,25.395126589267097,2017/01/01 00:05:00
0,NSW1,ENERGY,250.59816929207162,2017/01/01 00:10:00
1,QLD1,ENERGY,262.9993790105568,2017/01/01 00:10:00
2,SA1,ENERGY,125.68688180637427,2017/01/01 00:10:00
3,TAS1,ENERGY,98.39254445128336,2017/01/01 00:10:00
4,VIC1,ENERGY,20.197984161267097,2017/01/01 00:10:00
0,NSW1,ENERGY,247.96205566558947,2017/01/01 00:15:00
1,QLD1,ENERGY,260.1283139268213,2017/01/01 00:15:00
2,SA1,ENERGY,190.96857204040404,2017/01/01 00:15:00
3,TAS1,ENERGY,85.52594576584467,2017/01/01 00:15:00
4,VIC1,ENERGY,-0.2111927855918314,2017/01/01 00:15:00
0,NSW1,ENERGY,95.86016458678047,2017/01/01 00:20:00
1,QLD1,ENERGY,99.7640913940662,2017/01/01 00:20:00
2,SA1,ENERGY,80.31801684251286,2017/01/01 00:20:00
3,TAS1,ENERGY,49.304763657870154,2017/01/01 00:20:00
4,VIC1,ENERGY,25.197984161267097,2017/01/01 00:20:00
0,NSW1,ENERGY,91.57481471921956,2017/01/01 00:25:00
1,QLD1,ENERGY,94.63239500983664,2017/01/01 00:25:00
2,SA1,ENERGY,79.98801677651286,2017/01/01 00:25:00
3,TAS1,ENERGY,47.83908905804027,2017/01/01 00:25:00
4,VIC1,ENERGY,25.197984161267097,2017/01/01 00:25:00
0,NSW1,ENERGY,83.85431704556746,2017/01/01 00:30:00
1,QLD1,ENERGY,85.99225652735034,2017/01/01 00:30:00
2,SA1,ENERGY,79.98801677651286,2017/01/01 00:30:00
3,TAS1,ENERGY,41.73098243566581,2017/01/01 00:30:00
4,VIC1,ENERGY,19.866791823878415,2017/01/01 00:30:00
0,NSW1,ENERGY,92.79643073347445,2017/01/01 00:35:00
1,QLD1,ENERGY,95.87255156258577,2017/01/01 00:35:00
2,SA1,ENERGY,79.98801677651286,2017/01/01 00:35:00
3,TAS1,ENERGY,48.5942158004713,2017/01/01 00:35:00
