State,Service,Price,DateTime
NSW1,ENERGY,80.23285326,10/01/2017 9:35
QLD1,ENERGY,83.25188841,10/01/2017 9:35
SA1,ENERGY,98.16335985,10/01/2017 9:35
TAS1,ENERGY,80.57206164,10/01/2017 9:35
VIC1,ENERGY,78.67861819,10/01/2017 9:35
NSW1,ENERGY,75.15584628,6/01/2017 17:35
QLD1,ENERGY,74.74081056,6/01/2017 17:35
SA1,ENERGY,278.8080808,6/01/2017 17:35
TAS1,ENERGY,96.48819218,6/01/2017 17:35
VIC1,ENERGY,98.82047912,6/01/2017 17:35
NSW1,ENERGY,88.16999563,9/01/2017 9:15
QLD1,ENERGY,86.71826961,9/01/2017 9:15
SA1,ENERGY,124.985021,9/01/2017 9:15
TAS1,ENERGY,82.01995649,9/01/2017 9:15
VIC1,ENERGY,84.0040574,9/01/2017 9:15
NSW1,ENERGY,47.03269551,20/01/2017 0:45
QLD1,ENERGY,50.18901268,20/01/2017 0:45
SA1,ENERGY,41.25802634,20/01/2017 0:45
TAS1,ENERGY,83.58,20/01/2017 0:45
VIC1,ENERGY,35.20518359,20/01/2017 0:45
NSW1,ENERGY,99.92673896,17/01/2017 21:15
QLD1,ENERGY,96.64886376,17/01/2017 21:15
SA1,ENERGY,87.63653118,17/01/2017 21:15
TAS1,ENERGY,84.6755386,17/01/2017 21:15
VIC1,ENERGY,82.68566414,17/01/2017 21:15
NSW1,ENERGY,94.36936207,5/01/2017 12:20
QLD1,ENERGY,98.65487593,5/01/2017 12:20
SA1,ENERGY,108.5233591,5/01/2017 12:20
TAS1,ENERGY,80.59115337,5/01/2017 12:20
VIC1,ENERGY,90.29265663,5/01/2017 12:20
NSW1,ENERGY,81.49975454,12/01/2017 8:45
QLD1,ENERGY,149.9889428,12/01/2017 8:45
SA1,ENERGY,79.68828055,12/01/2017 8:45
TAS1,ENERGY,80.34311699,12/01/2017 8:45
VIC1,ENERGY,73.23974551,12/01/2017 8:45
NSW1,ENERGY,57.39140277,19/01/2017 19:15
QLD1,ENERGY,102.9066698,19/01/2017 19:15
SA1,ENERGY,79.98801678,19/01/2017 19:15
TAS1,ENERGY,83.58,19/01/2017 19:15
VIC1,ENERGY,58.24817518,19/01/2017 19:15
NSW1,ENERGY,79.02619172,7/01/2017 20:00
QLD1,ENERGY,80.97146234,7/01/2017 20:00
SA1,ENERGY,79.68828055,7/01/2017 20:00
TAS1,ENERGY,96.49648615,7/01/2017 20:00
VIC1,ENERGY,81.40018529,7/01/2017 20:00
NSW1,ENERGY,32.06379405,3/01/2017 1:50
QLD1,ENERGY,31.5683133,3/01/2017 1:50
SA1,ENERGY,14.48390333,3/01/2017 1:50
